id,name,required_skills,posted
852,QuickBuild,"drywall, circuits, concrete mixing",2025-06-05
853,FreshCo Homes,"design, masonry, blueprint reading, HV lines, circuits",2025-06-26
854,ABC Constructions,"construction, safety, safety protocols, fabrication, drywall",2025-07-08
855,FixItAll,"blueprint reading, pouring, waterproofing, circuits",2025-07-31
856,FreshCo Homes,"circuits, circuit design, plumbing, design",2025-06-09
857,QuickBuild,"design, framing, insulation",2025-07-15
858,PlumbWell Services,"pipe fitting, multi-trade skills, concrete mixing",2025-06-12
859,TilePro Solutions,"circuits, safety protocols, masonry, construction",2025-07-04
860,FixItAll,"tools, masonry, testing",2025-06-19
861,ConcreteMasters,"design, blueprint reading, testing",2025-07-02
862,PowerLine Engineers,"HV lines, pipe fitting, waterproofing, welding, safety",2025-07-10
863,TilePro Solutions,"pipe fitting, framing, fabrication, safety, reinforcement",2025-07-11
864,BuildRight Co.,"green building, energy efficiency, maintenance, water systems, repair",2025-07-02
865,MegaConstruct,"insulation, leadership, solar panels, metal cutting, HV lines",2025-06-22
866,UrbanGrid Energy,"fabrication, project management, tiles, pipe fitting",2025-07-21
867,FreshCo Homes,"waterproofing, carpentry, inspection",2025-06-14
868,PlumbWell Services,"energy efficiency, circuit design, multi-trade skills, green building",2025-07-16
869,MegaConstruct,"concrete mixing, drywall, tiles, design, welding",2025-07-22
870,SteelWorks Inc.,"electric systems, blueprint reading, framing, metal cutting, plumbing",2025-07-22
871,PlumbWell Services,"project management, design, solar panels, welding",2025-07-26
872,SafeElectro,"fabrication, insulation, testing, construction",2025-07-20
873,PowerLine Engineers,"construction, concrete mixing, fabrication",2025-06-26
874,SafeElectro,"solar panels, water systems, safety",2025-07-20
875,QuickBuild,"repair, multi-trade skills, finishing",2025-06-04
876,ConcreteMasters,"framing, concrete mixing, energy efficiency",2025-07-07
877,PowerFix Ltd,"carpentry, tools, multi-trade skills, leadership, circuits",2025-07-23
878,QuickBuild,"blueprint reading, reinforcement, pipe fitting, fabrication",2025-06-20
879,PowerLine Engineers,"circuits, concrete mixing, solar panels, HV lines, framing",2025-07-31
880,MegaConstruct,"welding, multi-trade skills, pipe fitting",2025-06-21
881,PlumbWell Services,"drywall, tiles, reinforcement, carpentry, fabrication",2025-07-19
882,TilePro Solutions,"pipe fitting, energy efficiency, insulation, installation",2025-06-17
883,TilePro Solutions,"inspection, tools, waterproofing, drywall, electrician",2025-07-12
884,SteelWorks Inc.,"plumbing, insulation, maintenance, welding",2025-07-25
885,ConcreteMasters,"testing, electric systems, water systems, fabrication",2025-06-02
886,QuickBuild,"inspection, finishing, reinforcement",2025-07-30
887,FixItAll,"water systems, maintenance, blueprint reading, electric systems",2025-07-18
888,ABC Constructions,"testing, safety protocols, design, repair",2025-06-11
889,TilePro Solutions,"budgeting, tools, welding, HV lines",2025-07-05
890,QuickBuild,"electrician, inspection, water systems",2025-07-24
891,MegaConstruct,"maintenance, insulation, pipe fitting, circuit design",2025-07-13
892,PowerLine Engineers,"insulation, waterproofing, fabrication, plumbing, tiles",2025-07-26
893,QuickBuild,"pipe fitting, multi-trade skills, pouring, blueprint reading, framing",2025-07-22
894,MegaConstruct,"plumbing, waterproofing, metal cutting",2025-07-19
895,SafeElectro,"leadership, waterproofing, solar panels, carpentry",2025-07-16
896,PlumbWell Services,"finishing, green building, tools, pipe fitting, drywall",2025-07-05
897,FreshCo Homes,"electric systems, safety, drywall, installation, framing",2025-06-14
898,UrbanGrid Energy,"HV lines, masonry, construction, testing",2025-07-07
899,SafeElectro,"energy efficiency, welding, blueprint reading",2025-07-11
900,ABC Constructions,"blueprint reading, budgeting, waterproofing, finishing, green building",2025-07-25
901,TilePro Solutions,"tools, plumbing, blueprint reading, maintenance, leadership",2025-07-10
902,MegaConstruct,"pipe fitting, drywall, inspection, HV lines",2025-06-22
903,ConcreteMasters,"concrete mixing, project management, design",2025-06-19
904,FreshCo Homes,"plumbing, safety, construction, fabrication",2025-07-10
905,SteelWorks Inc.,"tools, energy efficiency, circuit design, circuits",2025-06-25
906,GreenBuild Tech,"concrete mixing, fabrication, budgeting, safety protocols, multi-trade skills",2025-07-10
907,ABC Constructions,"solar panels, concrete mixing, project management, green building",2025-06-21
908,FixItAll,"leadership, plumbing, tiles, blueprint reading, fabrication",2025-07-12
909,GreenBuild Tech,"drywall, welding, framing",2025-07-24
910,PowerLine Engineers,"reinforcement, blueprint reading, concrete mixing, water systems, fabrication",2025-07-06
911,FreshCo Homes,"masonry, insulation, pipe fitting, waterproofing",2025-06-22
912,ABC Constructions,"circuits, design, blueprint reading",2025-06-14
913,PowerLine Engineers,"insulation, reinforcement, budgeting, drywall, fabrication",2025-06-16
914,ABC Constructions,"pouring, safety protocols, green building, fabrication",2025-07-27
915,PowerFix Ltd,"construction, reinforcement, pouring, pipe fitting, metal cutting",2025-06-16
916,ConcreteMasters,"maintenance, HV lines, framing",2025-06-04
917,ABC Constructions,"concrete mixing, framing, circuit design, finishing",2025-07-29
918,GreenBuild Tech,"waterproofing, leadership, electric systems, energy efficiency",2025-07-29
919,FixItAll,"installation, repair, metal cutting, multi-trade skills, safety protocols",2025-06-06
920,FixItAll,"pouring, circuit design, welding, solar panels, repair",2025-06-10
921,FreshCo Homes,"safety protocols, inspection, safety, pouring, blueprint reading",2025-06-04
922,UrbanGrid Energy,"energy efficiency, safety, electrician, waterproofing",2025-07-18
923,MegaConstruct,"water systems, drywall, plumbing",2025-07-26
924,PowerLine Engineers,"inspection, carpentry, insulation, green building, water systems",2025-06-03
925,PlumbWell Services,"energy efficiency, plumbing, drywall, welding, metal cutting",2025-07-24
926,BuildRight Co.,"framing, electric systems, installation",2025-06-02
927,PowerFix Ltd,"concrete mixing, design, testing",2025-06-08
928,PowerLine Engineers,"project management, fabrication, welding",2025-06-28
929,BuildRight Co.,"repair, leadership, drywall",2025-07-29
930,TilePro Solutions,"electrician, plumbing, carpentry, green building, electric systems",2025-07-26
931,UrbanGrid Energy,"tiles, safety protocols, electric systems, waterproofing",2025-07-03
932,SafeElectro,"testing, insulation, blueprint reading, HV lines, inspection",2025-06-24
933,QuickBuild,"concrete mixing, reinforcement, green building, safety, inspection",2025-06-05
934,ABC Constructions,"electric systems, electrician, insulation",2025-07-06
935,SafeElectro,"safety protocols, fabrication, plumbing, blueprint reading, reinforcement",2025-06-26
936,PowerFix Ltd,"water systems, insulation, project management, testing",2025-07-02
937,GreenBuild Tech,"waterproofing, water systems, framing, pouring, testing",2025-06-09
938,SafeElectro,"construction, HV lines, circuits, design, testing",2025-07-07
939,GreenBuild Tech,"installation, design, framing, water systems, circuit design",2025-07-08
940,PlumbWell Services,"installation, insulation, pipe fitting",2025-07-22
941,SafeElectro,"blueprint reading, inspection, testing",2025-06-24
942,PlumbWell Services,"tiles, metal cutting, maintenance",2025-06-04
943,ConcreteMasters,"budgeting, safety, reinforcement",2025-06-06
944,BuildRight Co.,"testing, budgeting, pipe fitting",2025-07-16
945,PowerLine Engineers,"plumbing, construction, circuits, leadership",2025-06-20
946,QuickBuild,"HV lines, reinforcement, maintenance, finishing, design",2025-06-21
947,PowerLine Engineers,"construction, energy efficiency, HV lines, leadership, safety protocols",2025-07-11
948,FixItAll,"water systems, testing, pouring, repair",2025-06-30
949,PlumbWell Services,"welding, construction, circuits, leadership, pipe fitting",2025-07-24
950,ConcreteMasters,"concrete mixing, electrician, metal cutting, safety, carpentry",2025-07-30
951,PowerLine Engineers,"finishing, blueprint reading, leadership, energy efficiency",2025-07-13
952,ABC Constructions,"green building, electrician, maintenance, project management",2025-07-18
953,SteelWorks Inc.,"tools, metal cutting, installation, budgeting",2025-07-11
954,SafeElectro,"blueprint reading, insulation, tiles, masonry, safety",2025-06-13
955,ConcreteMasters,"water systems, plumbing, testing",2025-06-12
956,UrbanGrid Energy,"circuits, electric systems, leadership, carpentry, solar panels",2025-07-24
957,SafeElectro,"insulation, tools, electrician",2025-06-04
958,TilePro Solutions,"masonry, construction, tools, framing, circuit design",2025-07-30
959,SafeElectro,"budgeting, green building, circuit design, waterproofing, reinforcement",2025-06-28
960,FixItAll,"project management, waterproofing, masonry, welding",2025-07-09
961,QuickBuild,"safety protocols, finishing, metal cutting, green building, maintenance",2025-06-09
962,MegaConstruct,"construction, water systems, framing",2025-07-09
963,FixItAll,"design, project management, solar panels, construction",2025-07-06
964,SteelWorks Inc.,"project management, carpentry, waterproofing",2025-07-25
965,GreenBuild Tech,"metal cutting, solar panels, blueprint reading, pouring, testing",2025-07-10
966,SteelWorks Inc.,"installation, green building, construction, finishing",2025-06-03
967,FixItAll,"testing, electric systems, electrician, drywall",2025-07-17
968,ConcreteMasters,"reinforcement, installation, plumbing",2025-06-09
969,PowerLine Engineers,"electric systems, maintenance, project management",2025-07-24
970,UrbanGrid Energy,"water systems, HV lines, circuit design, insulation",2025-06-23
971,MegaConstruct,"leadership, waterproofing, inspection, finishing, electrician",2025-07-21
972,ConcreteMasters,"drywall, masonry, safety protocols",2025-07-30
973,UrbanGrid Energy,"concrete mixing, carpentry, circuit design",2025-06-24
974,GreenBuild Tech,"water systems, inspection, circuit design, solar panels",2025-07-03
975,SteelWorks Inc.,"carpentry, concrete mixing, reinforcement, inspection",2025-06-20
976,PlumbWell Services,"welding, leadership, green building, tools",2025-06-16
977,FreshCo Homes,"concrete mixing, leadership, insulation, solar panels, pouring",2025-06-20
978,PowerFix Ltd,"budgeting, welding, energy efficiency, HV lines, framing",2025-07-05
979,PowerLine Engineers,"inspection, pouring, blueprint reading, insulation",2025-07-16
980,MegaConstruct,"waterproofing, finishing, concrete mixing, insulation",2025-07-26
981,FixItAll,"construction, leadership, masonry",2025-07-18
982,PowerLine Engineers,"project management, budgeting, insulation, carpentry, finishing",2025-06-07
983,SafeElectro,"electric systems, budgeting, fabrication",2025-06-02
984,FixItAll,"drywall, metal cutting, finishing, testing, water systems",2025-06-16
985,PlumbWell Services,"multi-trade skills, repair, reinforcement, circuits, circuit design",2025-07-02
986,FreshCo Homes,"green building, fabrication, water systems",2025-07-18
987,PlumbWell Services,"plumbing, reinforcement, electrician, electric systems",2025-07-08
988,GreenBuild Tech,"water systems, masonry, electric systems, energy efficiency",2025-06-04
989,TilePro Solutions,"carpentry, repair, green building",2025-06-18
990,MegaConstruct,"electric systems, safety protocols, green building, masonry",2025-07-14
991,ABC Constructions,"masonry, fabrication, leadership, safety",2025-06-24
992,SafeElectro,"budgeting, insulation, safety, carpentry",2025-07-23
993,UrbanGrid Energy,"design, plumbing, fabrication, metal cutting, carpentry",2025-06-02
994,SteelWorks Inc.,"maintenance, fabrication, leadership, electric systems, electrician",2025-07-16
995,SteelWorks Inc.,"solar panels, design, green building",2025-07-28
996,SafeElectro,"project management, tiles, plumbing, electric systems, energy efficiency",2025-07-06
997,SteelWorks Inc.,"inspection, testing, green building, finishing",2025-06-08
998,ConcreteMasters,"welding, water systems, electric systems, framing",2025-07-05
999,ABC Constructions,"installation, fabrication, inspection",2025-07-30
1000,FixItAll,"tools, energy efficiency, leadership, concrete mixing",2025-07-26
1001,PowerFix Ltd,"masonry, finishing, project management, safety protocols",2025-06-01
1002,SteelWorks Inc.,"construction, maintenance, concrete mixing, waterproofing, reinforcement",2025-07-09
1003,FreshCo Homes,"electrician, metal cutting, blueprint reading, pipe fitting",2025-06-11
1004,TilePro Solutions,"installation, carpentry, project management, inspection",2025-06-11
1005,TilePro Solutions,"plumbing, circuits, welding, pipe fitting",2025-06-04
1006,FreshCo Homes,"metal cutting, finishing, maintenance",2025-07-02
1007,GreenBuild Tech,"finishing, safety protocols, welding, HV lines, carpentry",2025-07-22
1008,BuildRight Co.,"multi-trade skills, framing, fabrication",2025-06-23
1009,PlumbWell Services,"plumbing, electrician, design",2025-06-10
1010,GreenBuild Tech,"maintenance, reinforcement, electric systems, multi-trade skills",2025-07-16
1011,UrbanGrid Energy,"electrician, electric systems, metal cutting, blueprint reading, project management",2025-06-12
1012,ABC Constructions,"waterproofing, blueprint reading, repair",2025-06-23
1013,QuickBuild,"multi-trade skills, repair, construction, maintenance",2025-06-07
1014,UrbanGrid Energy,"tiles, circuits, insulation, maintenance",2025-06-13
1015,ConcreteMasters,"safety, maintenance, carpentry",2025-06-28
1016,QuickBuild,"multi-trade skills, insulation, green building, finishing",2025-07-22
1017,UrbanGrid Energy,"multi-trade skills, pipe fitting, inspection",2025-07-18
1018,ConcreteMasters,"design, tiles, blueprint reading, inspection",2025-06-09
1019,QuickBuild,"circuits, maintenance, waterproofing",2025-06-27
1020,FixItAll,"leadership, project management, safety",2025-07-07
1021,GreenBuild Tech,"safety, blueprint reading, finishing, safety protocols",2025-06-17
1022,SafeElectro,"energy efficiency, insulation, concrete mixing, solar panels",2025-07-24
1023,PowerFix Ltd,"safety protocols, leadership, electrician, welding, concrete mixing",2025-07-04
1024,PowerFix Ltd,"maintenance, circuits, pouring, project management",2025-07-17
1025,BuildRight Co.,"welding, HV lines, concrete mixing, framing, circuits",2025-07-22
1026,ConcreteMasters,"electrician, masonry, tools, fabrication",2025-07-26
1027,PowerFix Ltd,"insulation, welding, masonry, water systems, construction",2025-07-22
1028,GreenBuild Tech,"reinforcement, fabrication, safety protocols, repair",2025-06-29
1029,PowerFix Ltd,"green building, concrete mixing, metal cutting, drywall",2025-07-07
1030,PowerLine Engineers,"framing, pipe fitting, electrician, HV lines",2025-07-24
1031,FreshCo Homes,"installation, HV lines, finishing",2025-07-08
1032,TilePro Solutions,"design, blueprint reading, finishing",2025-07-26
1033,UrbanGrid Energy,"finishing, carpentry, circuit design, blueprint reading",2025-06-28
1034,PowerFix Ltd,"pouring, fabrication, carpentry",2025-06-20
1035,ABC Constructions,"reinforcement, budgeting, green building, project management",2025-06-10
1036,MegaConstruct,"reinforcement, electric systems, safety protocols, waterproofing",2025-06-24
1037,PowerLine Engineers,"green building, pipe fitting, electric systems, pouring, construction",2025-07-15
1038,GreenBuild Tech,"safety protocols, project management, plumbing",2025-06-24
1039,SteelWorks Inc.,"tiles, pouring, finishing, budgeting",2025-07-22
1040,UrbanGrid Energy,"leadership, maintenance, green building, project management, drywall",2025-07-28
1041,TilePro Solutions,"masonry, fabrication, safety, pouring",2025-06-03
1042,FixItAll,"circuits, masonry, tools",2025-06-23
1043,FixItAll,"multi-trade skills, repair, pipe fitting",2025-07-24
1044,PowerFix Ltd,"carpentry, pipe fitting, masonry, HV lines, framing",2025-07-30
1045,PowerFix Ltd,"metal cutting, electric systems, safety",2025-07-05
1046,ABC Constructions,"electric systems, masonry, carpentry, leadership",2025-07-23
1047,SteelWorks Inc.,"repair, welding, drywall",2025-06-11
1048,PowerFix Ltd,"electric systems, masonry, energy efficiency",2025-06-27
1049,FixItAll,"HV lines, design, budgeting, green building, welding",2025-06-18
1050,GreenBuild Tech,"finishing, metal cutting, repair, energy efficiency, plumbing",2025-07-21
1051,QuickBuild,"leadership, pouring, solar panels, pipe fitting",2025-07-30
1052,QuickBuild,"water systems, drywall, metal cutting, waterproofing, tools",2025-06-30
1053,SafeElectro,"fabrication, project management, pouring",2025-07-23
1054,SteelWorks Inc.,"concrete mixing, circuits, installation, pipe fitting, drywall",2025-06-05
1055,ABC Constructions,"circuits, metal cutting, inspection, multi-trade skills",2025-07-05
1056,MegaConstruct,"design, repair, energy efficiency, masonry",2025-06-13
1057,PowerFix Ltd,"insulation, blueprint reading, green building, leadership, tools",2025-07-17
1058,SafeElectro,"project management, maintenance, HV lines, waterproofing, finishing",2025-07-08
1059,MegaConstruct,"construction, tools, concrete mixing, project management",2025-06-25
1060,UrbanGrid Energy,"blueprint reading, plumbing, pouring, project management",2025-06-12
1061,MegaConstruct,"water systems, electrician, circuits, inspection, carpentry",2025-06-02
1062,GreenBuild Tech,"installation, HV lines, masonry, electrician",2025-06-16
1063,ConcreteMasters,"installation, project management, metal cutting, water systems, finishing",2025-06-04
1064,PowerLine Engineers,"tiles, welding, design",2025-07-03
1065,TilePro Solutions,"water systems, insulation, project management, drywall, leadership",2025-06-10
1066,MegaConstruct,"repair, blueprint reading, drywall",2025-07-06
1067,FreshCo Homes,"masonry, electrician, solar panels, electric systems, green building",2025-06-13
1068,QuickBuild,"testing, energy efficiency, concrete mixing, finishing",2025-06-26
1069,SteelWorks Inc.,"masonry, water systems, fabrication",2025-07-31
1070,PowerLine Engineers,"green building, circuits, electric systems, electrician, construction",2025-07-03
1071,QuickBuild,"repair, electrician, reinforcement, framing, fabrication",2025-07-19
1072,UrbanGrid Energy,"carpentry, pipe fitting, construction, green building",2025-06-23
1073,PowerFix Ltd,"inspection, pipe fitting, concrete mixing, waterproofing, tiles",2025-06-07
1074,PlumbWell Services,"HV lines, finishing, pouring, water systems",2025-07-03
1075,QuickBuild,"design, water systems, HV lines, circuit design",2025-06-02
1076,ABC Constructions,"pouring, tiles, safety, inspection, circuit design",2025-07-28
1077,ABC Constructions,"design, carpentry, concrete mixing, multi-trade skills",2025-06-12
1078,FreshCo Homes,"solar panels, masonry, pouring, circuit design",2025-07-16
1079,PowerFix Ltd,"drywall, framing, reinforcement",2025-07-10
1080,PowerFix Ltd,"inspection, waterproofing, design",2025-06-09
1081,FixItAll,"circuits, multi-trade skills, waterproofing",2025-06-11
1082,FreshCo Homes,"multi-trade skills, design, leadership, tools",2025-06-28
1083,QuickBuild,"circuit design, HV lines, installation, carpentry",2025-06-10
1084,QuickBuild,"drywall, repair, leadership, safety protocols",2025-06-15
1085,PowerLine Engineers,"pouring, design, tools, testing, HV lines",2025-07-14
1086,SafeElectro,"multi-trade skills, plumbing, waterproofing, fabrication",2025-06-07
1087,SteelWorks Inc.,"drywall, carpentry, blueprint reading",2025-06-27
1088,GreenBuild Tech,"masonry, framing, plumbing",2025-07-30
1089,TilePro Solutions,"framing, electrician, inspection",2025-06-10
1090,FixItAll,"insulation, solar panels, reinforcement",2025-07-22
1091,ConcreteMasters,"masonry, budgeting, tiles, HV lines, plumbing",2025-07-01
1092,SafeElectro,"carpentry, circuit design, drywall, multi-trade skills",2025-06-12
1093,PowerFix Ltd,"maintenance, design, repair",2025-07-11
1094,GreenBuild Tech,"insulation, installation, waterproofing",2025-06-26
1095,UrbanGrid Energy,"pipe fitting, design, repair, construction, maintenance",2025-07-07
1096,PowerLine Engineers,"waterproofing, metal cutting, welding, framing",2025-07-04
1097,BuildRight Co.,"metal cutting, fabrication, framing, pouring, reinforcement",2025-06-06
1098,ConcreteMasters,"plumbing, HV lines, budgeting",2025-07-22
1099,TilePro Solutions,"pipe fitting, maintenance, drywall, safety, electrician",2025-06-25
1100,BuildRight Co.,"multi-trade skills, HV lines, pipe fitting",2025-07-23
1101,MegaConstruct,"plumbing, energy efficiency, drywall, HV lines, safety",2025-07-17
1102,FixItAll,"construction, insulation, energy efficiency, plumbing, solar panels",2025-06-21
1103,FreshCo Homes,"inspection, HV lines, budgeting, green building, metal cutting",2025-07-19
1104,SafeElectro,"masonry, pipe fitting, framing, budgeting",2025-06-29
1105,FixItAll,"repair, electric systems, construction, electrician, masonry",2025-06-06
1106,UrbanGrid Energy,"construction, framing, multi-trade skills, testing",2025-07-06
1107,QuickBuild,"waterproofing, circuits, finishing, blueprint reading, masonry",2025-06-21
1108,BuildRight Co.,"circuit design, welding, leadership",2025-07-24
1109,PowerFix Ltd,"green building, water systems, HV lines",2025-07-21
1110,QuickBuild,"multi-trade skills, repair, insulation, green building",2025-06-23
1111,UrbanGrid Energy,"carpentry, pouring, reinforcement, finishing",2025-07-01
1112,UrbanGrid Energy,"tiles, pouring, construction, testing, green building",2025-07-14
1113,FixItAll,"pipe fitting, repair, water systems, HV lines, solar panels",2025-07-24
1114,SteelWorks Inc.,"finishing, pipe fitting, framing, electric systems, project management",2025-07-05
1115,PowerFix Ltd,"safety protocols, blueprint reading, concrete mixing, testing",2025-07-13
1116,GreenBuild Tech,"drywall, multi-trade skills, electric systems",2025-06-26
1117,FixItAll,"framing, solar panels, masonry, installation",2025-06-14
1118,FixItAll,"circuits, energy efficiency, budgeting, circuit design",2025-06-17
1119,UrbanGrid Energy,"leadership, construction, multi-trade skills",2025-06-15
1120,PowerLine Engineers,"design, carpentry, repair",2025-06-04
1121,TilePro Solutions,"energy efficiency, electrician, repair, multi-trade skills, green building",2025-06-02
1122,ABC Constructions,"framing, electrician, construction",2025-06-03
1123,FixItAll,"safety, HV lines, circuits",2025-07-14
1124,PowerFix Ltd,"plumbing, carpentry, fabrication",2025-06-14
1125,ABC Constructions,"metal cutting, tools, finishing",2025-06-11
1126,FreshCo Homes,"HV lines, budgeting, finishing",2025-06-23
1127,PowerFix Ltd,"circuits, testing, electric systems",2025-06-22
1128,FreshCo Homes,"green building, installation, HV lines",2025-06-23
1129,TilePro Solutions,"repair, pouring, welding",2025-07-29
1130,UrbanGrid Energy,"inspection, fabrication, water systems",2025-06-02
1131,ConcreteMasters,"water systems, fabrication, pipe fitting, leadership, testing",2025-06-21
1132,ABC Constructions,"installation, welding, finishing",2025-06-01
1133,SafeElectro,"circuits, repair, safety protocols",2025-06-18
1134,FreshCo Homes,"waterproofing, project management, construction, installation, plumbing",2025-07-16
1135,MegaConstruct,"framing, electric systems, electrician",2025-06-20
1136,FreshCo Homes,"fabrication, masonry, green building, electrician",2025-06-04
1137,QuickBuild,"fabrication, finishing, framing, drywall",2025-06-05
1138,MegaConstruct,"concrete mixing, fabrication, circuits, metal cutting, construction",2025-07-10
1139,SteelWorks Inc.,"repair, construction, water systems, energy efficiency, budgeting",2025-06-01
1140,GreenBuild Tech,"installation, maintenance, finishing",2025-06-14
1141,UrbanGrid Energy,"solar panels, metal cutting, leadership",2025-06-28
1142,ConcreteMasters,"safety protocols, tools, carpentry",2025-07-20
1143,UrbanGrid Energy,"design, finishing, leadership",2025-06-28
1144,MegaConstruct,"design, water systems, insulation",2025-07-12
1145,GreenBuild Tech,"repair, inspection, electrician",2025-07-01
1146,FreshCo Homes,"maintenance, reinforcement, concrete mixing, metal cutting",2025-06-05
1147,PowerFix Ltd,"electrician, reinforcement, drywall, circuits",2025-07-18
1148,MegaConstruct,"waterproofing, construction, pouring",2025-06-24
1149,FixItAll,"construction, installation, inspection",2025-07-25
1150,FreshCo Homes,"repair, green building, blueprint reading, finishing",2025-07-10
1151,PowerFix Ltd,"repair, masonry, circuits, HV lines, electric systems",2025-07-07
1152,BuildRight Co.,"construction, installation, plumbing, solar panels",2025-07-19
1153,PlumbWell Services,"project management, water systems, multi-trade skills, metal cutting, blueprint reading",2025-06-23
1154,ConcreteMasters,"maintenance, repair, blueprint reading, carpentry",2025-07-02
1155,GreenBuild Tech,"electric systems, drywall, repair",2025-07-18
1156,BuildRight Co.,"reinforcement, safety, masonry, circuit design",2025-06-15
1157,SafeElectro,"design, electric systems, tools, blueprint reading",2025-07-06
1158,PowerFix Ltd,"circuit design, pipe fitting, safety, blueprint reading, electric systems",2025-06-15
1159,SteelWorks Inc.,"reinforcement, multi-trade skills, safety",2025-07-31
1160,ConcreteMasters,"tools, drywall, budgeting, inspection",2025-06-30
1161,PowerLine Engineers,"safety, project management, budgeting, concrete mixing, repair",2025-07-26
1162,PowerFix Ltd,"reinforcement, installation, insulation",2025-07-26
1163,QuickBuild,"multi-trade skills, inspection, installation, carpentry, electrician",2025-07-09
1164,QuickBuild,"inspection, pipe fitting, tools",2025-07-17
1165,UrbanGrid Energy,"maintenance, concrete mixing, installation, reinforcement",2025-06-10
1166,GreenBuild Tech,"safety, energy efficiency, circuit design",2025-06-27
1167,TilePro Solutions,"carpentry, circuits, masonry",2025-07-28
1168,ABC Constructions,"framing, maintenance, design, leadership",2025-07-24
1169,QuickBuild,"HV lines, circuit design, concrete mixing",2025-06-07
1170,PlumbWell Services,"fabrication, leadership, testing",2025-07-04
1171,PowerLine Engineers,"inspection, carpentry, construction, water systems, solar panels",2025-06-25
1172,BuildRight Co.,"inspection, drywall, green building, design",2025-06-30
1173,SafeElectro,"HV lines, solar panels, carpentry, blueprint reading, drywall",2025-07-22
1174,GreenBuild Tech,"circuits, green building, design",2025-06-03
1175,SafeElectro,"plumbing, fabrication, safety",2025-06-17
1176,FixItAll,"inspection, design, safety, repair, solar panels",2025-06-09
1177,UrbanGrid Energy,"installation, water systems, pipe fitting",2025-06-16
1178,BuildRight Co.,"energy efficiency, metal cutting, carpentry, electrician",2025-06-02
1179,FreshCo Homes,"energy efficiency, blueprint reading, testing, drywall, framing",2025-06-23
1180,SteelWorks Inc.,"insulation, framing, pipe fitting, safety protocols, fabrication",2025-07-05
1181,QuickBuild,"budgeting, circuits, repair, drywall",2025-07-27
1182,GreenBuild Tech,"green building, framing, insulation, solar panels, inspection",2025-06-23
1183,FreshCo Homes,"repair, waterproofing, water systems",2025-06-17
1184,PowerFix Ltd,"carpentry, waterproofing, circuits, water systems, insulation",2025-07-01
1185,ConcreteMasters,"project management, blueprint reading, safety, circuit design, plumbing",2025-06-04
1186,SafeElectro,"HV lines, drywall, electric systems, welding, installation",2025-07-22
1187,ABC Constructions,"welding, masonry, fabrication",2025-06-08
1188,TilePro Solutions,"framing, multi-trade skills, leadership, electrician",2025-06-07
1189,UrbanGrid Energy,"carpentry, tiles, pouring",2025-06-05
1190,FreshCo Homes,"maintenance, budgeting, tiles, circuits, electrician",2025-06-06
1191,TilePro Solutions,"multi-trade skills, electric systems, finishing",2025-06-28
1192,MegaConstruct,"green building, electric systems, installation, masonry",2025-07-28
1193,UrbanGrid Energy,"reinforcement, testing, plumbing, budgeting",2025-06-16
1194,GreenBuild Tech,"safety protocols, budgeting, waterproofing, drywall, leadership",2025-07-30
1195,PowerFix Ltd,"framing, HV lines, testing, green building",2025-07-30
1196,ABC Constructions,"pipe fitting, HV lines, blueprint reading, electric systems",2025-06-08
1197,SteelWorks Inc.,"framing, pouring, insulation",2025-07-13
1198,FixItAll,"inspection, tools, circuit design, leadership",2025-06-07
1199,GreenBuild Tech,"pouring, project management, testing",2025-07-16
1200,QuickBuild,"solar panels, pipe fitting, drywall, leadership",2025-06-23
1201,MegaConstruct,"leadership, reinforcement, multi-trade skills, maintenance",2025-06-09
1202,SafeElectro,"reinforcement, budgeting, concrete mixing",2025-07-03
1203,ConcreteMasters,"pouring, tiles, circuit design, framing",2025-07-16
1204,ConcreteMasters,"masonry, water systems, maintenance",2025-07-25
1205,ABC Constructions,"concrete mixing, carpentry, circuit design, pipe fitting, project management",2025-06-17
1206,PlumbWell Services,"blueprint reading, safety protocols, framing, energy efficiency",2025-06-10
1207,BuildRight Co.,"circuit design, water systems, pipe fitting, electric systems, pouring",2025-06-25
1208,PowerLine Engineers,"circuits, safety protocols, multi-trade skills, blueprint reading",2025-07-15
1209,FreshCo Homes,"carpentry, repair, tiles, circuit design",2025-06-02
1210,PowerLine Engineers,"inspection, design, blueprint reading, repair",2025-07-22
1211,UrbanGrid Energy,"design, project management, finishing, water systems, drywall",2025-07-25
1212,ConcreteMasters,"welding, waterproofing, safety, blueprint reading",2025-06-08
1213,UrbanGrid Energy,"tiles, concrete mixing, water systems",2025-07-16
1214,ConcreteMasters,"concrete mixing, circuits, insulation, budgeting",2025-06-01
1215,SafeElectro,"masonry, inspection, tools, waterproofing",2025-07-20
1216,FixItAll,"multi-trade skills, circuit design, safety protocols, tiles",2025-07-28
1217,BuildRight Co.,"green building, testing, HV lines, welding",2025-06-13
1218,QuickBuild,"multi-trade skills, repair, safety, fabrication",2025-07-28
1219,QuickBuild,"solar panels, waterproofing, carpentry",2025-06-29
1220,GreenBuild Tech,"framing, circuit design, tiles, fabrication, solar panels",2025-07-12
1221,GreenBuild Tech,"electrician, pouring, tools, HV lines, design",2025-07-17
1222,FreshCo Homes,"plumbing, waterproofing, design, concrete mixing",2025-07-10
1223,SteelWorks Inc.,"maintenance, welding, reinforcement, masonry",2025-06-06
1224,PowerFix Ltd,"tools, framing, water systems, metal cutting",2025-07-19
